chebi-chembl_compound	12445
chebi-ensembl_gene	343679
chebi-glytoucan	2036
chebi-hp	10287
chebi-mesh	27713
chebi-mondo	21242
chebi-nando	0
chebi-ncbigene	288917
chebi-pdb	7495094
chebi-pubchem_compound	23004
chebi-togovar	28119842
chebi-uniprot	286534
chembl_compound-ensembl_gene	3230472
chembl_compound-glytoucan	24
chembl_compound-hp	17637
chembl_compound-mesh	45044
chembl_compound-mondo	34892
chembl_compound-nando	0
chembl_compound-ncbigene	2524284
chembl_compound-pdb	102321023
chembl_compound-pubchem_compound	9007
chembl_compound-togovar	356679070
chembl_compound-uniprot	2485093
ensembl_gene-glytoucan	24074
ensembl_gene-hp	412
ensembl_gene-mesh	3484
ensembl_gene-mondo	7356
ensembl_gene-nando	1412
ensembl_gene-ncbigene	39636
ensembl_gene-pdb	93373
ensembl_gene-pubchem_compound	3341468
ensembl_gene-togovar	704474
ensembl_gene-uniprot	90155
glytoucan-hp	33
glytoucan-mesh	65
glytoucan-mondo	141
glytoucan-nando	15
glytoucan-ncbigene	20242
glytoucan-pdb	452331
glytoucan-pubchem_compound	2265
glytoucan-togovar	1712089
glytoucan-uniprot	21686
hp-mesh	1013
hp-mondo	1812
hp-nando	456
hp-ncbigene	390
hp-pdb	8035
hp-pubchem_compound	15785
hp-togovar	58826
hp-uniprot	486
mesh-mondo	7797
mesh-nando	13
mesh-ncbigene	3227
mesh-pdb	37240
mesh-pubchem_compound	41036
mesh-togovar	405599
mesh-uniprot	4229
mondo-nando	2388
mondo-ncbigene	6573
mondo-pdb	64664
mondo-pubchem_compound	31931
mondo-togovar	526948
mondo-uniprot	8620
nando-ncbigene	1251
nando-pdb	13782
nando-pubchem_compound	0
nando-togovar	248527
nando-uniprot	1557
ncbigene-pdb	83918
ncbigene-pubchem_compound	2609397
ncbigene-togovar	636672
ncbigene-uniprot	33376
pdb-pubchem_compound	104387394
pdb-togovar	5638007
pdb-uniprot	77591
pubchem_compound-togovar	387421441
pubchem_compound-uniprot	2569344
togovar-uniprot	4554994
